XP_049270093.1	-	2170	Chitin_synth_2	PF03142.18	527	8.8e-51	183.0	15.7	1	4	4.9e-26	2.9e-22	88.9	0.0	203	419	707	911	671	943	0.83	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_049270093.1	-	2170	Chitin_synth_2	PF03142.18	527	8.8e-51	183.0	15.7	3	4	3e-26	1.8e-22	89.6	0.2	203	424	1452	1662	1445	1712	0.78	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	-	2324	Chitin_synth_2	PF03142.18	527	6.4e-49	176.9	20.5	1	4	2.8e-25	1.7e-21	86.4	0.0	203	437	312	532	301	547	0.86	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	-	2324	Chitin_synth_2	PF03142.18	527	6.4e-49	176.9	20.5	3	4	7.6e-23	4.5e-19	78.4	0.2	199	451	1569	1806	1565	1836	0.77	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_052719862.1	-	1533	Chitin_synth_2	PF03142.18	527	3e-34	128.5	2.0	1	2	4.2e-32	2.5e-28	108.9	0.2	111	458	747	1084	631	1095	0.72	chitin synthase chs-2-like isoform X2 [Crassostrea angulata]
XP_052719861.1	-	1566	Chitin_synth_2	PF03142.18	527	3.2e-34	128.4	2.0	1	2	4.4e-32	2.6e-28	108.9	0.2	111	458	780	1117	664	1128	0.72	chitin synthase chs-2-like isoform X1 [Crassostrea angulata]
XP_034304243.1	-	1530	Chitin_synth_2	PF03142.18	527	3.5e-34	128.2	2.0	1	2	4.6e-32	2.8e-28	108.8	0.2	111	458	744	1081	629	1093	0.73	chitin synthase chs-2 isoform X3 [Crassostrea gigas]
XP_034304242.1	-	1561	Chitin_synth_2	PF03142.18	527	3.6e-34	128.2	2.1	1	2	5.9e-32	3.5e-28	108.4	0.1	111	456	775	1110	659	1118	0.72	chitin synthase chs-2 isoform X2 [Crassostrea gigas]
XP_034304240.1	-	1563	Chitin_synth_2	PF03142.18	527	3.8e-34	128.1	2.0	1	2	4.8e-32	2.9e-28	108.7	0.2	111	458	777	1114	662	1126	0.73	chitin synthase chs-2 isoform X1 [Crassostrea gigas]
XP_053388113.1	-	1381	Chitin_synth_2	PF03142.18	527	2.1e-33	125.7	10.3	1	2	3.9e-33	2.4e-29	112.3	3.4	153	465	600	898	565	911	0.79	uncharacterized protein LOC123541765 isoform X1 [Mercenaria mercenaria]
XP_053388114.1	-	1381	Chitin_synth_2	PF03142.18	527	2.1e-33	125.7	10.3	1	2	3.9e-33	2.4e-29	112.3	3.4	153	465	600	898	565	911	0.79	uncharacterized protein LOC123541765 isoform X1 [Mercenaria mercenaria]
XP_043995175.1	-	787	Chitin_synth_2	PF03142.18	527	2.4e-33	125.5	6.8	1	2	2.6e-32	1.5e-28	109.6	0.0	186	444	148	395	74	403	0.80	chitin synthase chs-2-like [Gambusia affinis]
XP_022296526.1	-	1308	Chitin_synth_2	PF03142.18	527	6.5e-33	124.1	5.0	1	2	1.9e-33	1.1e-29	113.4	0.1	203	465	712	959	701	979	0.80	uncharacterized protein LOC111106230 [Crassostrea virginica]
XP_022295920.1	-	1441	Chitin_synth_2	PF03142.18	527	7.6e-33	123.8	3.0	1	2	2.1e-32	1.2e-28	109.9	0.1	160	464	786	1078	775	1099	0.78	uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_022295921.1	-	1441	Chitin_synth_2	PF03142.18	527	7.6e-33	123.8	3.0	1	2	2.1e-32	1.2e-28	109.9	0.1	160	464	786	1078	775	1099	0.78	uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_032363577.1	-	937	Chitin_synth_2	PF03142.18	527	1.1e-32	123.3	4.8	1	2	8e-30	4.8e-26	101.4	0.0	203	439	415	639	407	658	0.84	LOW QUALITY PROTEIN: chitin synthase chs-2-like  partial [Etheostoma spectabile]
XP_022821184.1	-	1520	Chitin_synth_2	PF03142.18	527	2.3e-32	122.3	11.0	1	2	2.3e-30	1.3e-26	103.2	0.9	203	444	721	950	680	962	0.85	uncharacterized protein LOC111352764 [Spodoptera litura]
XP_022821185.1	-	1520	Chitin_synth_2	PF03142.18	527	2.3e-32	122.3	11.0	1	2	2.3e-30	1.3e-26	103.2	0.9	203	444	721	950	680	962	0.85	uncharacterized protein LOC111352764 [Spodoptera litura]
XP_038664467.1	-	1218	Chitin_synth_2	PF03142.18	527	2.4e-32	122.2	0.4	1	2	1.2e-27	7e-24	94.2	0.0	158	417	613	861	603	889	0.84	chitin synthase chs-1-like [Scyliorhinus canicula]
XP_025102509.1	-	1462	Chitin_synth_2	PF03142.18	527	3.7e-32	121.5	6.3	1	2	2.5e-32	1.5e-28	109.7	0.2	205	454	510	745	503	757	0.82	chitin synthase chs-2-like isoform X2 [Pomacea canaliculata]
XP_051811505.1	-	729	Chitin_synth_2	PF03142.18	527	3.8e-32	121.5	6.4	1	2	2.7e-30	1.6e-26	103.0	0.0	203	444	342	573	297	581	0.84	chitin synthase chs-2-like [Acanthochromis polyacanthus]
XP_032437492.1	-	821	Chitin_synth_2	PF03142.18	527	4.6e-32	121.3	7.0	1	2	2.3e-31	1.4e-27	106.5	0.0	189	444	177	421	100	425	0.80	chitin synthase chs-2-like [Xiphophorus hellerii]
XP_022288339.1	-	1368	Chitin_synth_2	PF03142.18	527	4.6e-32	121.3	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	639	938	629	958	0.76	uncharacterized protein LOC111100586 isoform X2 [Crassostrea virginica]
XP_022288340.1	-	1365	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	636	935	626	955	0.76	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_022288341.1	-	1365	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	636	935	626	955	0.76	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_022288343.1	-	1365	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	636	935	626	955	0.76	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_022288344.1	-	1365	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	636	935	626	955	0.76	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_022288345.1	-	1365	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	3.8	1	2	8.8e-33	5.3e-29	111.2	1.0	159	465	636	935	626	955	0.76	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_030268286.1	-	1256	Chitin_synth_2	PF03142.18	527	4.7e-32	121.2	2.1	1	2	8.5e-29	5.1e-25	98.0	0.0	202	449	626	863	580	885	0.80	chitin synthase chs-1-like [Sparus aurata]
XP_022288338.1	-	1417	Chitin_synth_2	PF03142.18	527	5.4e-32	121.0	3.9	1	2	9.4e-33	5.6e-29	111.1	1.0	159	465	688	987	678	1007	0.76	uncharacterized protein LOC111100586 isoform X1 [Crassostrea virginica]
XP_038649191.1	-	1219	Chitin_synth_2	PF03142.18	527	6.1e-32	120.8	0.6	1	2	5e-28	3e-24	95.5	0.0	158	415	614	860	604	879	0.84	chitin synthase chs-2-like [Scyliorhinus canicula]
XP_025102500.1	-	1759	Chitin_synth_2	PF03142.18	527	6.5e-32	120.8	6.5	1	2	3.5e-32	2.1e-28	109.2	0.2	205	454	807	1042	800	1053	0.82	chitin synthase chs-2-like isoform X1 [Pomacea canaliculata]
XP_043552707.1	-	1193	Chitin_synth_2	PF03142.18	527	8.8e-32	120.3	1.4	1	2	7.7e-29	4.6e-25	98.2	0.0	158	425	587	843	577	867	0.85	chitin synthase chs-2-like [Chiloscyllium plagiosum]
XP_045183292.2	-	1308	Chitin_synth_2	PF03142.18	527	8.9e-32	120.3	13.5	2	3	9.1e-31	5.5e-27	104.5	6.3	203	468	579	829	539	839	0.79	uncharacterized protein LOC123541764 isoform X4 [Mercenaria mercenaria]
XP_053386789.1	-	1308	Chitin_synth_2	PF03142.18	527	8.9e-32	120.3	13.5	2	3	9.1e-31	5.5e-27	104.5	6.3	203	468	579	829	539	839	0.79	uncharacterized protein LOC123541764 isoform X4 [Mercenaria mercenaria]
XP_053401686.1	-	512	Chitin_synth_2	PF03142.18	527	9.6e-32	120.2	11.1	1	2	1.2e-30	7.2e-27	104.1	6.7	168	466	102	386	96	397	0.80	chitin synthase chs-2-like [Mercenaria mercenaria]
XP_011439386.2	-	1393	Chitin_synth_2	PF03142.18	527	9.9e-32	120.2	10.0	1	2	1.2e-30	7.1e-27	104.1	0.7	157	456	690	978	681	982	0.75	chitin synthase chs-2 [Crassostrea gigas]
XP_053386788.1	-	1518	Chitin_synth_2	PF03142.18	527	1.1e-31	120.0	13.0	2	3	7.8e-31	4.7e-27	104.7	5.7	203	468	789	1039	749	1050	0.79	uncharacterized protein LOC123541764 isoform X2 [Mercenaria mercenaria]
XP_052704305.1	-	1408	Chitin_synth_2	PF03142.18	527	1.1e-31	119.9	1.5	1	2	5.1e-32	3.1e-28	108.6	0.2	160	465	670	969	660	989	0.75	chitin synthase chs-2-like isoform X1 [Crassostrea angulata]
XP_053386787.1	-	1524	Chitin_synth_2	PF03142.18	527	1.1e-31	119.9	13.0	2	3	7.9e-31	4.7e-27	104.7	5.7	203	468	795	1045	755	1056	0.79	uncharacterized protein LOC123541764 isoform X1 [Mercenaria mercenaria]
XP_052704309.1	-	1362	Chitin_synth_2	PF03142.18	527	1.2e-31	119.9	1.7	1	2	5e-32	3e-28	108.7	0.2	160	465	624	923	614	943	0.75	chitin synthase chs-2-like isoform X3 [Crassostrea angulata]
XP_052704306.1	-	1366	Chitin_synth_2	PF03142.18	527	1.2e-31	119.9	1.7	1	2	5e-32	3e-28	108.7	0.2	160	465	628	927	618	947	0.75	chitin synthase chs-2-like isoform X2 [Crassostrea angulata]
XP_052704307.1	-	1366	Chitin_synth_2	PF03142.18	527	1.2e-31	119.9	1.7	1	2	5e-32	3e-28	108.7	0.2	160	465	628	927	618	947	0.75	chitin synthase chs-2-like isoform X2 [Crassostrea angulata]
XP_052704308.1	-	1366	Chitin_synth_2	PF03142.18	527	1.2e-31	119.9	1.7	1	2	5e-32	3e-28	108.7	0.2	160	465	628	927	618	947	0.75	chitin synthase chs-2-like isoform X2 [Crassostrea angulata]
XP_045183288.2	-	1445	Chitin_synth_2	PF03142.18	527	1.3e-31	119.8	13.5	2	3	1e-30	6.2e-27	104.3	6.2	203	468	716	966	676	975	0.79	uncharacterized protein LOC123541764 isoform X3 [Mercenaria mercenaria]
XP_034330199.1	-	1365	Chitin_synth_2	PF03142.18	527	1.3e-31	119.7	2.0	1	2	4.8e-32	2.9e-28	108.7	0.2	160	465	628	927	618	951	0.75	chitin synthase isoform X2 [Crassostrea gigas]
XP_034330200.1	-	1365	Chitin_synth_2	PF03142.18	527	1.3e-31	119.7	2.0	1	2	4.8e-32	2.9e-28	108.7	0.2	160	465	628	927	618	951	0.75	chitin synthase isoform X2 [Crassostrea gigas]
