XP_037509155.1	2184	Chitin_synth_2	5.8e-51	707	911 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	946	1049 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	1465	1675 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	1706	1811 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	312	532 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	594	658 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	1569	1806 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	1812	1918 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_034304243.1	1530	Chitin_synth_2	2.3e-34	744	1081 chitin synthase chs-2 isoform X3 [Crassostrea gigas]
XP_034304243.1	1530	Chitin_synth_2	2.3e-34	1086	1200 chitin synthase chs-2 isoform X3 [Crassostrea gigas]
XP_034304242.1	1561	Chitin_synth_2	2.3e-34	775	1110 chitin synthase chs-2 isoform X2 [Crassostrea gigas]
XP_034304242.1	1561	Chitin_synth_2	2.3e-34	1120	1231 chitin synthase chs-2 isoform X2 [Crassostrea gigas]
XP_034304240.1	1563	Chitin_synth_2	2.5e-34	777	1114 chitin synthase chs-2 isoform X1 [Crassostrea gigas]
XP_034304240.1	1563	Chitin_synth_2	2.5e-34	1122	1233 chitin synthase chs-2 isoform X1 [Crassostrea gigas]
XP_043995175.1	787	Chitin_synth_2	1.5e-33	148	395 chitin synthase chs-2-like [Gambusia affinis]
XP_043995175.1	787	Chitin_synth_2	1.5e-33	396	531 chitin synthase chs-2-like [Gambusia affinis]
XP_022296526.1	1308	Chitin_synth_2	4.2e-33	712	959 uncharacterized protein LOC111106230 [Crassostrea virginica]
XP_022296526.1	1308	Chitin_synth_2	4.2e-33	996	1064 uncharacterized protein LOC111106230 [Crassostrea virginica]
XP_022295920.1	1441	Chitin_synth_2	5e-33	786	1078 uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_022295920.1	1441	Chitin_synth_2	5e-33	1111	1186 uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_022295921.1	1441	Chitin_synth_2	5e-33	786	1078 uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_022295921.1	1441	Chitin_synth_2	5e-33	1111	1186 uncharacterized protein LOC111105812 [Crassostrea virginica]
