#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
XP_037509155.1       -          Chitin_synth_2       PF03142.18   5.8e-51  183.0  15.7   1.2e-22   89.6   0.2   4.3   2   2   2   4   4   4   2 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2       -          Chitin_synth_2       PF03142.18   4.1e-49  176.9  20.5   1.1e-21   86.4   0.0   4.8   4   1   1   5   5   4   3 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_034304243.1       -          Chitin_synth_2       PF03142.18   2.3e-34  128.2   2.0   1.8e-28  108.8   0.2   2.3   1   1   1   2   2   2   2 chitin synthase chs-2 isoform X3 [Crassostrea gigas]
XP_034304242.1       -          Chitin_synth_2       PF03142.18   2.3e-34  128.2   2.1   2.3e-28  108.4   0.1   2.3   1   1   1   2   2   2   2 chitin synthase chs-2 isoform X2 [Crassostrea gigas]
XP_034304240.1       -          Chitin_synth_2       PF03142.18   2.5e-34  128.1   2.0   1.9e-28  108.7   0.2   2.3   1   1   1   2   2   2   2 chitin synthase chs-2 isoform X1 [Crassostrea gigas]
XP_043995175.1       -          Chitin_synth_2       PF03142.18   1.5e-33  125.5   6.8     1e-28  109.6   0.0   2.4   1   1   1   2   2   2   2 chitin synthase chs-2-like [Gambusia affinis]
XP_022296526.1       -          Chitin_synth_2       PF03142.18   4.2e-33  124.1   5.0   7.4e-30  113.4   0.1   2.8   2   1   1   3   3   2   2 uncharacterized protein LOC111106230 [Crassostrea virginica]
XP_022295920.1       -          Chitin_synth_2       PF03142.18     5e-33  123.8   3.0     8e-29  109.9   0.1   3.0   2   1   1   3   3   2   2 uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_022295921.1       -          Chitin_synth_2       PF03142.18     5e-33  123.8   3.0     8e-29  109.9   0.1   3.0   2   1   1   3   3   2   2 uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_032363577.1       -          Chitin_synth_2       PF03142.18   7.2e-33  123.3   4.8   3.1e-26  101.4   0.0   2.3   1   1   1   2   2   2   2 LOW QUALITY PROTEIN: chitin synthase chs-2-like, partial [Etheostoma spectabile]
XP_025102509.1       -          Chitin_synth_2       PF03142.18   2.4e-32  121.5   6.3   9.5e-29  109.7   0.2   2.3   1   1   1   2   2   2   2 chitin synthase chs-2-like isoform X2 [Pomacea canaliculata]
XP_032437492.1       -          Chitin_synth_2       PF03142.18     3e-32  121.3   7.0   9.1e-28  106.5   0.0   2.4   1   1   1   2   2   2   2 chitin synthase chs-2-like [Xiphophorus hellerii]
XP_022288339.1       -          Chitin_synth_2       PF03142.18     3e-32  121.3   3.8   3.4e-29  111.2   1.0   2.4   1   1   1   2   2   2   1 uncharacterized protein LOC111100586 isoform X2 [Crassostrea virginica]
XP_022288340.1       -          Chitin_synth_2       PF03142.18     3e-32  121.2   3.8   3.4e-29  111.2   1.0   2.4   1   1   1   2   2   2   1 uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
