chs1	XM_027024980.2	113586674	XP_026880781.2	8005	Electrophorus electricus
chs1	XM_027024980.2	113586674	XP_026880781.2	8005	Electrophorus electricus
LOC122622390	XM_043800798.1	122622390	XP_043656733.1	7243	Drosophila teissieri
LOC122622390	XM_043800800.1	122622390	XP_043656735.1	7243	Drosophila teissieri
LOC120454543	XM_039639922.1	120454543	XP_039495856.1	129105	Drosophila santomea
LOC117142251	XM_033306109.1	117142251	XP_033162000.1	7226	Drosophila mauritiana
LOC6613934	XM_032720317.1	6613934	XP_032576208.1	7238	Drosophila sechellia
LOC117142251	XM_033306104.1	117142251	XP_033161995.1	7226	Drosophila mauritiana
LOC117142251	XM_033306105.1	117142251	XP_033161996.1	7226	Drosophila mauritiana
LOC117142251	XM_033306106.1	117142251	XP_033161997.1	7226	Drosophila mauritiana
LOC117142251	XM_033306107.1	117142251	XP_033161998.1	7226	Drosophila mauritiana
LOC6613934	XM_032720314.1	6613934	XP_032576205.1	7238	Drosophila sechellia
LOC6613934	XM_032720315.1	6613934	XP_032576206.1	7238	Drosophila sechellia
Dmel_CG2666	NM_079509.3	45884	NP_524233.1	7227	Drosophila melanogaster
Dmel_CG2666	NM_206430.3	45884	NP_996152.1	7227	Drosophila melanogaster
LOC27207284	XM_016183003.3	27207284	XP_016033301.1	7240	Drosophila simulans
LOC27207284	XM_016183005.2	27207284	XP_016033303.1	7240	Drosophila simulans
LOC27207284	XM_016183004.2	27207284	XP_016033302.1	7240	Drosophila simulans
LOC6535398	XM_015191648.3	6535398	XP_015047134.1	7245	Drosophila yakuba
LOC6535398	XM_039376340.1	6535398	XP_039232274.1	7245	Drosophila yakuba
LOC108011245	XM_036818980.1	108011245	XP_036674875.1	28584	Drosophila suzukii
LOC108011245	XM_036818981.1	108011245	XP_036674876.1	28584	Drosophila suzukii
LOC6500499	XM_014911100.3	6500499	XP_014766586.1	7217	Drosophila ananassae
LOC6500499	XM_014911101.3	6500499	XP_014766587.1	7217	Drosophila ananassae
LOC6500499	XM_032449905.2	6500499	XP_032305796.1	7217	Drosophila ananassae
LOC119559876	XM_037873006.1	119559876	XP_037728934.1	1486046	Drosophila subpulchrella
LOC6535398	XM_002096012.4	6535398	XP_002096048.2	7245	Drosophila yakuba
LOC108156158	XM_017287482.2	108156158	XP_017142971.1	7229	Drosophila miranda
LOC108156158	XM_017287483.2	108156158	XP_017142972.1	7229	Drosophila miranda
LOC108156158	XM_017287485.2	108156158	XP_017142974.1	7229	Drosophila miranda
LOC120454543	XM_039639923.2	120454543	XP_039495857.1	129105	Drosophila santomea
LOC117142251	XM_033306108.1	117142251	XP_033161999.1	7226	Drosophila mauritiana
LOC6613934	XM_032720316.1	6613934	XP_032576207.1	7238	Drosophila sechellia
Dmel_CG2666	NM_169052.3	45884	NP_730928.2	7227	Drosophila melanogaster
LOC27207284	XM_016183002.2	27207284	XP_016033300.1	7240	Drosophila simulans
LOC117142251	XM_033306111.1	117142251	XP_033162002.1	7226	Drosophila mauritiana
LOC6613934	XM_032720318.1	6613934	XP_032576209.1	7238	Drosophila sechellia
LOC4802475	XM_003736692.3	4802475	XP_003736740.2	7237	Drosophila pseudoobscura
LOC4802475	XM_015182340.2	4802475	XP_015037826.2	7237	Drosophila pseudoobscura
LOC4802475	XM_015182341.2	4802475	XP_015037827.2	7237	Drosophila pseudoobscura
LOC122622390	XM_043800799.1	122622390	XP_043656734.1	7243	Drosophila teissieri
LOC108011245	XM_017076353.2	108011245	XP_016931842.2	28584	Drosophila suzukii
LOC119559876	XM_037873007.1	119559876	XP_037728935.1	1486046	Drosophila subpulchrella
LOC27207284	XM_039295550.1	27207284	XP_039151484.1	7240	Drosophila simulans
LOC117899175	XM_034809035.1	117899175	XP_034664926.1	7241	Drosophila subobscura
LOC108603280	XM_017991941.1	108603280	XP_017847430.1	30019	Drosophila busckii
LOC108603280	XM_017991942.1	108603280	XP_017847431.1	30019	Drosophila busckii
LOC108603280	XM_017991943.2	108603280	XP_017847432.1	30019	Drosophila busckii
LOC119559876	XM_037873008.1	119559876	XP_037728936.1	1486046	Drosophila subpulchrella
LOC6500499	XM_044714126.1	6500499	XP_044570061.1	7217	Drosophila ananassae
LOC108156158	XM_033388624.1	108156158	XP_033244515.1	7229	Drosophila miranda
LOC4802475	XM_001359353.5	4802475	XP_001359390.4	7237	Drosophila pseudoobscura
LOC117899175	XM_034809036.1	117899175	XP_034664927.1	7241	Drosophila subobscura
LOC4802475	XM_033378229.1	4802475	XP_033234120.1	7237	Drosophila pseudoobscura
LOC120897708	XM_040302764.1	120897708	XP_040158698.1	7173	Anopheles arabiensis
LOC120773350	XM_040102174.1	120773350	XP_039958108.1	59916	Bactrocera tryoni
LOC118468987	XM_035940398.1	118468987	XP_035796291.1	7167	Anopheles albimanus
LOC118468987	XM_035940401.1	118468987	XP_035796294.1	7167	Anopheles albimanus
LOC118468987	XM_035940396.1	118468987	XP_035796289.1	7167	Anopheles albimanus
LOC120897708	XM_040302774.1	120897708	XP_040158708.1	7173	Anopheles arabiensis
LOC118468987	XM_035940399.1	118468987	XP_035796292.1	7167	Anopheles albimanus
LOC118468987	XM_035940397.1	118468987	XP_035796290.1	7167	Anopheles albimanus
LOC120953477	XM_040373421.2	120953477	XP_040229355.1	1518534	Anopheles coluzzii
LOC121587920	XM_041905263.1	121587920	XP_041761197.1	30066	Anopheles merus
AgaP_AGAP001748	XM_321336.5	1281426	XP_321336.5	7165	Anopheles gambiae str. PEST
LOC120953477	XM_040373419.2	120953477	XP_040229353.1	1518534	Anopheles coluzzii
LOC120953477	XM_040373423.2	120953477	XP_040229357.1	1518534	Anopheles coluzzii
LOC121587920	XM_041905262.1	121587920	XP_041761196.1	30066	Anopheles merus
LOC121587920	XM_041905264.1	121587920	XP_041761198.1	30066	Anopheles merus
LOC121587920	XM_041905265.1	121587920	XP_041761199.1	30066	Anopheles merus
LOC121587920	XM_041905266.1	121587920	XP_041761200.1	30066	Anopheles merus
