XP_037509155.1	Chitin_synth_2	5.8e-51	3e-26	1.9e-22	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	Chitin_synth_2	4.099999999999999e-49	1.7e-25	1.1e-21	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_034304243.1	Chitin_synth_2	2.3e-34	2.8e-32	1.8000000000000002e-28	chitin synthase chs-2 isoform X3 [Crassostrea gigas]
XP_034304242.1	Chitin_synth_2	2.3e-34	3.6e-32	2.3000000000000003e-28	chitin synthase chs-2 isoform X2 [Crassostrea gigas]
XP_034304240.1	Chitin_synth_2	2.5e-34	2.9e-32	1.9000000000000003e-28	chitin synthase chs-2 isoform X1 [Crassostrea gigas]
XP_043995175.1	Chitin_synth_2	1.5e-33	1.6e-32	1.0000000000000001e-28	chitin synthase chs-2-like [Gambusia affinis]
XP_022296526.1	Chitin_synth_2	4.2000000000000005e-33	1.2e-33	7.4e-30	uncharacterized protein LOC111106230 [Crassostrea virginica]
XP_022295920.1	Chitin_synth_2	5e-33	1.3000000000000001e-32	8.000000000000001e-29	uncharacterized protein LOC111105812 [Crassostrea virginica]
XP_032363577.1	Chitin_synth_2	7.2e-33	4.9000000000000004e-30	3.1e-26	LOW QUALITY PROTEIN: chitin synthase chs-2-like  partial [Etheostoma spectabile]
XP_025102509.1	Chitin_synth_2	2.4e-32	1.5e-32	9.5e-29	chitin synthase chs-2-like isoform X2 [Pomacea canaliculata]
XP_032437492.1	Chitin_synth_2	3e-32	1.4e-31	9.1e-28	chitin synthase chs-2-like [Xiphophorus hellerii]
XP_022288339.1	Chitin_synth_2	3e-32	5.4e-33	3.4e-29	uncharacterized protein LOC111100586 isoform X2 [Crassostrea virginica]
XP_022288340.1	Chitin_synth_2	3e-32	5.4e-33	3.4e-29	uncharacterized protein LOC111100586 isoform X3 [Crassostrea virginica]
XP_022288338.1	Chitin_synth_2	3.5000000000000004e-32	5.7e-33	3.6e-29	uncharacterized protein LOC111100586 isoform X1 [Crassostrea virginica]
XP_025102500.1	Chitin_synth_2	4.2000000000000004e-32	2.1000000000000002e-32	1.3000000000000002e-28	chitin synthase chs-2-like isoform X1 [Pomacea canaliculata]
XP_043552707.1	Chitin_synth_2	5.7e-32	4.7e-29	3e-25	chitin synthase chs-2-like [Chiloscyllium plagiosum]
XP_011439386.2	Chitin_synth_2	6.4e-32	7.199999999999999e-31	4.6e-27	chitin synthase chs-2 [Crassostrea gigas]
XP_034330199.1	Chitin_synth_2	8.7e-32	2.9e-32	1.9000000000000003e-28	chitin synthase isoform X2 [Crassostrea gigas]
XP_034330198.1	Chitin_synth_2	9.500000000000001e-32	3.1e-32	2.0000000000000002e-28	chitin synthase isoform X1 [Crassostrea gigas]
XP_022324975.1	Chitin_synth_2	1e-31	2.4e-31	1.5e-27	chitin synthase 1-like isoform X2 [Crassostrea virginica]
XP_033830810.1	Chitin_synth_2	1.2e-31	2.2000000000000002e-30	1.4e-26	LOW QUALITY PROTEIN: chitin synthase chs-2-like [Periophthalmus magnuspinnatus]
XP_035446236.1	Chitin_synth_2	1.5e-31	7.5e-31	4.7e-27	chitin synthase chs-2-like isoform X2 [Spodoptera frugiperda]
XP_035446235.1	Chitin_synth_2	1.5e-31	7.6e-31	4.8e-27	chitin synthase chs-2-like isoform X1 [Spodoptera frugiperda]
XP_035445780.1	Chitin_synth_2	1.5e-31	7.6e-31	4.8e-27	LOW QUALITY PROTEIN: chitin synthase chs-2-like [Spodoptera frugiperda]
XP_022324974.1	Chitin_synth_2	1.5e-31	2.8999999999999996e-31	1.8e-27	chitin synthase 1-like isoform X1 [Crassostrea virginica]
XP_023200185.1	Chitin_synth_2	1.9e-31	5.6e-31	3.5e-27	uncharacterized protein LOC102222640 [Xiphophorus maculatus]
XP_027142389.1	Chitin_synth_2	3.3999999999999997e-31	2.8e-31	1.8e-27	chitin synthase [Larimichthys crocea]
XP_041064420.1	Chitin_synth_2	5.399999999999999e-31	1.7000000000000003e-28	1.0999999999999998e-24	chitin synthase chs-2-like isoform X2 [Carcharodon carcharias]
XP_041064410.1	Chitin_synth_2	5.5e-31	1.7000000000000003e-28	1.0999999999999998e-24	chitin synthase chs-2-like isoform X1 [Carcharodon carcharias]
XP_041064429.1	Chitin_synth_2	5.5e-31	1.4000000000000001e-28	8.899999999999999e-25	chitin synthase chs-2-like isoform X3 [Carcharodon carcharias]
XP_041811237.1	Chitin_synth_2	9e-31	4.3e-29	2.6999999999999997e-25	chitin synthase chs-2-like [Chelmon rostratus]
XP_034400735.1	Chitin_synth_2	9.299999999999999e-31	4.2e-29	2.6999999999999997e-25	chitin synthase chs-2-like isoform X2 [Cyclopterus lumpus]
XP_034400734.1	Chitin_synth_2	1.1000000000000001e-30	3e-29	1.9e-25	chitin synthase chs-2-like isoform X1 [Cyclopterus lumpus]
XP_037908007.1	Chitin_synth_2	1.1000000000000001e-30	1.1e-29	7.2e-26	chitin synthase chs-2 [Hermetia illucens]
XP_043674157.1	Chitin_synth_2	1.1000000000000001e-30	7.2e-27	4.5000000000000003e-23	chitin synthase chs-2 isoform X4 [Vespula pensylvanica]
XP_043674167.1	Chitin_synth_2	1.1000000000000001e-30	7.2e-27	4.6e-23	chitin synthase chs-2 isoform X5 [Vespula pensylvanica]
XP_043674130.1	Chitin_synth_2	1.1000000000000001e-30	7.2e-27	4.6e-23	chitin synthase chs-2 isoform X1 [Vespula pensylvanica]
XP_023201081.1	Chitin_synth_2	1.4000000000000001e-30	1.9e-29	1.2e-25	uncharacterized protein LOC102222895 [Xiphophorus maculatus]
XP_035476930.1	Chitin_synth_2	2.1e-30	3.9000000000000004e-28	2.5e-24	chitin synthase chs-2-like [Scophthalmus maximus]
XP_034304244.1	Chitin_synth_2	2.2000000000000002e-30	9.700000000000001e-34	6.2000000000000005e-30	uncharacterized protein LOC105344892 [Crassostrea gigas]
XP_044028431.1	Chitin_synth_2	2.4000000000000002e-30	4.0000000000000003e-28	2.5e-24	chitin synthase chs-1-like [Siniperca chuatsi]
XP_037651888.1	Chitin_synth_2	2.7000000000000002e-30	5e-28	3.1999999999999998e-24	chitin synthase chs-2-like [Sebastes umbrosus]
