LOC119385856	XM_049414136.1	119385856	XP_049270093.1	34632	Rhipicephalus sanguineus
LOC119385856	XM_049414136.1	119385856	XP_049270093.1	34632	Rhipicephalus sanguineus
chs1	XM_027024980.2	113586674	XP_026880781.2	8005	Electrophorus electricus
chs1	XM_027024980.2	113586674	XP_026880781.2	8005	Electrophorus electricus
LOC122622390	XM_043800798.1	122622390	XP_043656733.1	7243	Drosophila teissieri
LOC122622390	XM_043800800.1	122622390	XP_043656735.1	7243	Drosophila teissieri
LOC6647074	XM_015177336.2	6647074	XP_015032822.1	7260	Drosophila willistoni
LOC120454543	XM_039639922.1	120454543	XP_039495856.1	129105	Drosophila santomea
LOC108032909	XM_017106971.2	108032909	XP_016962460.1	NA	NA
LOC108032909	XM_017106972.3	108032909	XP_016962461.1	NA	NA
LOC108032909	XM_050889283.1	108032909	XP_050745240.1	NA	NA
LOC117142251	XM_033306109.1	117142251	XP_033162000.1	7226	Drosophila mauritiana
LOC6613934	XM_032720317.1	6613934	XP_032576208.1	7238	Drosophila sechellia
LOC117142251	XM_033306104.1	117142251	XP_033161995.1	7226	Drosophila mauritiana
LOC117142251	XM_033306105.1	117142251	XP_033161996.1	7226	Drosophila mauritiana
LOC117142251	XM_033306106.1	117142251	XP_033161997.1	7226	Drosophila mauritiana
LOC117142251	XM_033306107.1	117142251	XP_033161998.1	7226	Drosophila mauritiana
LOC6613934	XM_032720314.1	6613934	XP_032576205.1	7238	Drosophila sechellia
LOC6613934	XM_032720315.1	6613934	XP_032576206.1	7238	Drosophila sechellia
Dmel_CG2666	NM_079509.3	45884	NP_524233.1	7227	Drosophila melanogaster
Dmel_CG2666	NM_206430.3	45884	NP_996152.1	7227	Drosophila melanogaster
LOC27207284	XM_016183003.3	27207284	XP_016033301.1	7240	Drosophila simulans
LOC27207284	XM_016183005.2	27207284	XP_016033303.1	7240	Drosophila simulans
LOC27207284	XM_016183004.2	27207284	XP_016033302.1	7240	Drosophila simulans
LOC6535398	XM_015191648.3	6535398	XP_015047134.1	7245	Drosophila yakuba
