AgaP_AGAP000038	XP_311123.3	XM_311123.3	GCF_000005575.2_AgamP3_genomic
AgaP_AGAP001205	XP_321951.2	XM_321951.2	GCF_000005575.2_AgamP3_genomic
AgaP_AGAP001748	XP_321336.5	XM_321336.5	GCF_000005575.2_AgamP3_genomic
CELE_F48A11.1	NP_001300544.1	NM_001313615.3	GCF_000002985.6_WBcel235_genomic
CELE_F48A11.1	NP_001300545.1	NM_001313616.3	GCF_000002985.6_WBcel235_genomic
CELE_F48A11.1	NP_493682.2	NM_061281.6	GCF_000002985.6_WBcel235_genomic
CELE_T25G3.2	NP_492113.2	NM_059712.6	GCF_000002985.6_WBcel235_genomic
Chs1	NP_001034491.1	NM_001039402.1	GCF_000002335.3_Tcas5.2_genomic
chs1	NP_001303255.1	NM_001316326.1	GCF_000002035.6_GRCz11_genomic
Chs1	XP_008194188.1	XM_008195966.2	GCF_000002335.3_Tcas5.2_genomic
chs1	XP_009305300.1	XM_009307025.3	GCF_000002035.6_GRCz11_genomic
chs1	XP_010887243.2	XM_010888941.3	GCF_011004845.1_fEsoLuc1.pri_genomic
chs1	XP_012710607.2	XM_012855153.3	GCF_011125445.2_MU-UCD_Fhet_4.1_genomic
chs1	XP_017274207.1	XM_017418718.3	GCF_001649575.2_ASM164957v2_genomic
chs1	XP_017580185.1	XM_017724696.2	GCF_015220715.1_fPygNat1.pri_genomic
chs1	XP_022537815.2	XM_022682094.2	GCF_023375975.1_AstMex3_surface_genomic
chs1	XP_024150646.1	XM_024294878.2	GCF_002922805.2_ASM292280v2_genomic
chs1	XP_026798939.2	XM_026943138.2	GCF_009078355.1_GENO_Phyp_1.0_genomic
chs1	XP_026880781.2	XM_027024980.2	GCF_013358815.1_fEleEle1.pri_genomic
chs1	XP_029000538.1	XM_029144705.1	GCF_900634795.3_fBetSpl5.3_genomic
chs1	XP_029000539.1	XM_029144706.1	GCF_900634795.3_fBetSpl5.3_genomic
chs1	XP_031170030.1	XM_031314170.2	GCF_008315115.2_SLUC_FBN_1.2_genomic
chs1	XP_031435213.1	XM_031579353.2	GCF_900700415.2_Ch_v2.0.2_genomic
chs1	XP_031597611.1	XM_031741751.2	GCF_013358895.1_ZZ_aureus_genomic
chs1	XP_033487927.1	XM_033632036.1	GCF_005281545.1_ASM528154v1_genomic
chs1	XP_033839656.1	XM_033983765.1	GCF_009829125.1_fPerMag1.pri_genomic
chs1	XP_033839663.1	XM_033983772.1	GCF_009829125.1_fPerMag1.pri_genomic
chs1	XP_033930933.1	XM_034075042.1	GCF_902827115.1_fPseGeo1.1_genomic
chs1	XP_034044491.1	XM_034188600.1	GCF_902500255.1_fThaAma1.1_genomic
chs1	XP_034419469.1	XM_034563578.1	GCF_009769545.1_fCycLum1.pri_genomic
chs1	XP_034433772.1	XM_034577881.1	GCF_009819705.1_fHipHip1.pri_genomic
chs1	XP_034536216.1	XM_034680325.1	GCF_009762535.1_fNotCel1.pri_genomic
chs1	XP_034733388.1	XM_034877497.1	GCF_013103735.1_CSU_Ecrag_1.0_genomic
chs1	XP_035011461.2	XM_035155570.2	GCF_022539355.2_HSTE1.2_genomic
chs1	XP_035256043.1	XM_035400152.1	GCF_013347855.1_fAngAng1.pri_genomic
chs1	XP_035485068.2	XM_035629175.2	GCF_022379125.1_ASM2237912v1_genomic
chs1	XP_036066555.1	XM_036210662.1	GCF_002922805.2_ASM292280v2_genomic
chs1	XP_036403039.1	XM_036547146.1	GCF_013368585.1_fMegCyp1.pri_genomic
chs1	XP_036951172.1	XM_037095277.1	GCF_904848185.1_fAcaLat1.1_genomic
chs1	XP_037102964.1	XM_037247069.1	GCF_901709675.1_fSynAcu1.2_genomic
chs1	XP_037102965.1	XM_037247070.1	GCF_901709675.1_fSynAcu1.2_genomic
chs1	XP_037102966.1	XM_037247071.1	GCF_901709675.1_fSynAcu1.2_genomic
chs1	XP_037549422.1	XM_037693494.1	GCF_014905685.2_NemWhi1_genomic
chs1	XP_037609379.1	XM_037753451.1	GCF_015220745.1_fSebUmb1.pri_genomic
chs1	XP_039594921.1	XM_039738987.1	GCF_016835505.1_ASM1683550v1_genomic
chs1	XP_039651508.1	XM_039795574.1	GCF_010015445.1_GENO_Pfluv_1.0_genomic
chs1	XP_039651509.1	XM_039795575.1	GCF_010015445.1_GENO_Pfluv_1.0_genomic
chs1	XP_039984615.1	XM_040128681.1	GCF_016859285.1_ASM1685928v1_genomic
chs1	XP_040056443.1	XM_040200509.1	GCF_016920845.1_GAculeatus_UGA_version5_genomic
chs1	XP_040894744.1	XM_041038810.1	GCF_017976425.1_fToxJac2.pri_genomic
chs1	XP_041645086.1	XM_041789152.1	GCF_018320785.1_ASM1832078v1_genomic
chs1	XP_041836604.1	XM_041980670.1	GCF_017639745.1_fMelBoe1.pri_genomic
chs1	XP_041920815.1	XM_042064881.1	GCF_018492685.1_fAloSap1.pri_genomic
chs1	XP_042266512.1	XM_042410578.1	GCF_910596095.1_fThuMac1.1_genomic
chs1	XP_042343741.1	XM_042487807.1	GCF_008729295.1_YSFRI_Pleo_2.0_genomic
chs1	XP_043111067.1	XM_043255132.1	GCF_018831695.1_ASM1883169v1_genomic
chs1	XP_043885769.1	XM_044029834.1	GCF_019176455.1_IFAPA_SoseM_1_genomic
chs1	XP_043885770.1	XM_044029835.1	GCF_019176455.1_IFAPA_SoseM_1_genomic
chs1	XP_043885771.1	XM_044029836.1	GCF_019176455.1_IFAPA_SoseM_1_genomic
chs1	XP_043992616.1	XM_044136681.1	GCF_019740435.1_SWU_Gaff_1.0_genomic
chs1	XP_044051750.1	XM_044195815.1	GCF_020085105.1_ASM2008510v1_genomic
chs1	XP_044203061.1	XM_044347126.1	GCF_914725855.1_fThuAlb1.1_genomic
Chs2	NP_001034492.1	NM_001039403.1	GCF_000002335.3_Tcas5.2_genomic
Dmel_CG2666	NP_524233.1	NM_079509.3	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic
Dmel_CG2666	NP_730928.2	NM_169052.3	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic
Dmel_CG2666	NP_996152.1	NM_206430.3	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic
Dmel_CG7464	NP_001137997.2	NM_001144525.2	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic
Dmel_CG7464	NP_524209.3	NM_079485.4	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic
EDNRA	NP_001248421.1	NM_001261492.1	GCF_003339765.1_Mmul_10_genomic
EDNRA	XP_005556090.1	XM_005556033.3	GCF_012559485.2_MFA1912RKSv2_genomic
EDNRA	XP_017917076.1	XM_018061587.1	GCF_001704415.2_ARS1.2_genomic
EDNRA	XP_021554450.1	XM_021698775.2	GCF_002201575.2_ASM220157v2_genomic
EDNRA	XP_027453888.1	XM_027598087.2	GCF_009762305.2_mZalCal1.pri.v2_genomic
HAS1_4	XP_038507654.1	XM_038651726.1	GCF_000002285.5_Dog10K_Boxer_Tasha_genomic
HAS1_4	XP_038507725.1	XM_038651797.1	GCF_000002285.5_Dog10K_Boxer_Tasha_genomic
has1l.L	XP_041425999.1	XM_041570065.1	GCF_017654675.1_Xenopus_laevis_v10.1_genomic
has1l.S	XP_041426666.1	XM_041570732.1	GCF_017654675.1_Xenopus_laevis_v10.1_genomic
has1l	XP_031762651.1	XM_031906791.1	GCF_000004195.4_UCB_Xtro_10.0_genomic
has1	NP_001120590.1	NM_001127118.1	GCF_000004195.4_UCB_Xtro_10.0_genomic
HAS1	NP_001129684.1	NM_001136212.1	GCF_000003025.6_Sscrofa11.1_genomic
has1	NP_001157502.1	NM_001164030.1	GCF_000002035.6_GRCz11_genomic
HAS1	NP_001284365.1	NM_001297436.2	GCF_000001405.40_GRCh38.p14_genomic
HAS1	NP_001284365.1	NM_001297436.2	GCF_009914755.1_T2T-CHM13v2.0_genomic
HAS1	NP_001514.2	NM_001523.4	GCF_000001405.40_GRCh38.p14_genomic
