XP_037509155.1	2184	Chitin_synth_2	5.8e-51	707	911	0.83	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	946	1049	0.66	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	1465	1675	0.78	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_037509155.1	2184	Chitin_synth_2	5.8e-51	1706	1811	0.64	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	312	532	0.86	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	594	658	0.65	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	1569	1806	0.77	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_026880781.2	2324	Chitin_synth_2	4.1e-49	1812	1918	0.66	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_034304243.1	1530	Chitin_synth_2	2.3e-34	744	1081	0.73	chitin_synthase_chs-2_isoform_X3_[Crassostrea_gigas]
XP_034304243.1	1530	Chitin_synth_2	2.3e-34	1086	1200	0.75	chitin_synthase_chs-2_isoform_X3_[Crassostrea_gigas]
XP_034304242.1	1561	Chitin_synth_2	2.3e-34	775	1110	0.72	chitin_synthase_chs-2_isoform_X2_[Crassostrea_gigas]
XP_034304242.1	1561	Chitin_synth_2	2.3e-34	1120	1231	0.76	chitin_synthase_chs-2_isoform_X2_[Crassostrea_gigas]
XP_034304240.1	1563	Chitin_synth_2	2.5e-34	777	1114	0.73	chitin_synthase_chs-2_isoform_X1_[Crassostrea_gigas]
XP_034304240.1	1563	Chitin_synth_2	2.5e-34	1122	1233	0.76	chitin_synthase_chs-2_isoform_X1_[Crassostrea_gigas]
XP_043995175.1	787	Chitin_synth_2	1.5e-33	148	395	0.80	chitin_synthase_chs-2-like_[Gambusia_affinis]
XP_043995175.1	787	Chitin_synth_2	1.5e-33	396	531	0.60	chitin_synthase_chs-2-like_[Gambusia_affinis]
XP_022296526.1	1308	Chitin_synth_2	4.2e-33	712	959	0.80	uncharacterized_protein_LOC111106230_[Crassostrea_virginica]
XP_022296526.1	1308	Chitin_synth_2	4.2e-33	996	1064	0.73	uncharacterized_protein_LOC111106230_[Crassostrea_virginica]
XP_022295920.1	1441	Chitin_synth_2	5e-33	786	1078	0.78	uncharacterized_protein_LOC111105812_[Crassostrea_virginica]
XP_022295920.1	1441	Chitin_synth_2	5e-33	1111	1186	0.71	uncharacterized_protein_LOC111105812_[Crassostrea_virginica]
XP_022295921.1	1441	Chitin_synth_2	5e-33	786	1078	0.78	uncharacterized_protein_LOC111105812_[Crassostrea_virginica]
XP_022295921.1	1441	Chitin_synth_2	5e-33	1111	1186	0.71	uncharacterized_protein_LOC111105812_[Crassostrea_virginica]
XP_032363577.1	937	Chitin_synth_2	7.2e-33	415	639	0.84	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-2-like_partial_[Etheostoma_spectabile]
XP_032363577.1	937	Chitin_synth_2	7.2e-33	658	759	0.65	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-2-like_partial_[Etheostoma_spectabile]
XP_025102509.1	1462	Chitin_synth_2	2.4e-32	510	745	0.82	chitin_synthase_chs-2-like_isoform_X2_[Pomacea_canaliculata]
XP_025102509.1	1462	Chitin_synth_2	2.4e-32	752	844	0.58	chitin_synthase_chs-2-like_isoform_X2_[Pomacea_canaliculata]
XP_032437492.1	821	Chitin_synth_2	3e-32	177	421	0.80	chitin_synthase_chs-2-like_[Xiphophorus_hellerii]
XP_032437492.1	821	Chitin_synth_2	3e-32	431	534	0.61	chitin_synthase_chs-2-like_[Xiphophorus_hellerii]
XP_022288339.1	1368	Chitin_synth_2	3e-32	639	938	0.76	uncharacterized_protein_LOC111100586_isoform_X2_[Crassostrea_virginica]
XP_022288339.1	1368	Chitin_synth_2	3e-32	968	1042	0.64	uncharacterized_protein_LOC111100586_isoform_X2_[Crassostrea_virginica]
XP_022288340.1	1365	Chitin_synth_2	3e-32	636	935	0.76	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288340.1	1365	Chitin_synth_2	3e-32	965	1039	0.64	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288341.1	1365	Chitin_synth_2	3e-32	636	935	0.76	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288341.1	1365	Chitin_synth_2	3e-32	965	1039	0.64	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288343.1	1365	Chitin_synth_2	3e-32	636	935	0.76	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288343.1	1365	Chitin_synth_2	3e-32	965	1039	0.64	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288344.1	1365	Chitin_synth_2	3e-32	636	935	0.76	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288344.1	1365	Chitin_synth_2	3e-32	965	1039	0.64	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288345.1	1365	Chitin_synth_2	3e-32	636	935	0.76	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288345.1	1365	Chitin_synth_2	3e-32	965	1039	0.64	uncharacterized_protein_LOC111100586_isoform_X3_[Crassostrea_virginica]
XP_022288338.1	1417	Chitin_synth_2	3.5e-32	688	987	0.76	uncharacterized_protein_LOC111100586_isoform_X1_[Crassostrea_virginica]
XP_022288338.1	1417	Chitin_synth_2	3.5e-32	1017	1091	0.64	uncharacterized_protein_LOC111100586_isoform_X1_[Crassostrea_virginica]
XP_025102500.1	1759	Chitin_synth_2	4.2e-32	807	1042	0.82	chitin_synthase_chs-2-like_isoform_X1_[Pomacea_canaliculata]
XP_025102500.1	1759	Chitin_synth_2	4.2e-32	1049	1141	0.58	chitin_synthase_chs-2-like_isoform_X1_[Pomacea_canaliculata]
XP_043552707.1	1193	Chitin_synth_2	5.7e-32	587	843	0.85	chitin_synthase_chs-2-like_[Chiloscyllium_plagiosum]
XP_043552707.1	1193	Chitin_synth_2	5.7e-32	887	987	0.68	chitin_synthase_chs-2-like_[Chiloscyllium_plagiosum]
XP_011439386.2	1393	Chitin_synth_2	6.4e-32	690	978	0.75	chitin_synthase_chs-2_[Crassostrea_gigas]
XP_011439386.2	1393	Chitin_synth_2	6.4e-32	958	1083	0.72	chitin_synthase_chs-2_[Crassostrea_gigas]
XP_034330199.1	1365	Chitin_synth_2	8.7e-32	628	927	0.75	chitin_synthase_isoform_X2_[Crassostrea_gigas]
XP_034330199.1	1365	Chitin_synth_2	8.7e-32	961	1036	0.69	chitin_synthase_isoform_X2_[Crassostrea_gigas]
XP_034330200.1	1365	Chitin_synth_2	8.7e-32	628	927	0.75	chitin_synthase_isoform_X2_[Crassostrea_gigas]
XP_034330200.1	1365	Chitin_synth_2	8.7e-32	961	1036	0.69	chitin_synthase_isoform_X2_[Crassostrea_gigas]
XP_034330198.1	1407	Chitin_synth_2	9.5e-32	670	969	0.75	chitin_synthase_isoform_X1_[Crassostrea_gigas]
XP_034330198.1	1407	Chitin_synth_2	9.5e-32	1003	1078	0.69	chitin_synthase_isoform_X1_[Crassostrea_gigas]
XP_022324975.1	665	Chitin_synth_2	1e-31	39	445	0.67	chitin_synthase_1-like_isoform_X2_[Crassostrea_virginica]
XP_022324975.1	665	Chitin_synth_2	1e-31	452	551	0.73	chitin_synthase_1-like_isoform_X2_[Crassostrea_virginica]
